nombre;year;cantidad;diff
ABISAG ;2015;2;1,0
ABISAG ;2021;1;-1,0
ABISAHI ;2015;1;0,0
ABISAI ;2011;2;1,0
ABISAI ;2013;1;-1,0
ABISAI ;2014;1;0,0
ABISAI ;2015;1;0,0
ABISAI ;2017;1;0,0
ABISAI ;2018;2;1,0
ABISAI ;2019;2;0,0
ABISAI ;2020;2;0,0
ABISAI ;2021;2;0,0
ABISAIT ;2018;1;-1,0
ABISAÍ ;2011;1;0,0
ABISAÍ ;2012;2;1,0
ABISAÍ ;2016;1;-1,0
ABISAÍ ;2018;1;0,0
ABISAÍ ;2020;1;0,0
ABISCHAÏ ;2021;1;0,0
ABISH ;2010;1;0,0
ABISH ;2021;2;1,0
ABISHA ;2021;1;-1,0
ABISHAI ;2021;1;0,0
ABISHAÏDANÍA ;2021;1;0,0
ABISSINIA ;2016;1;0,0
ABISTANIA ;2020;1;0,0
ABITSH ;2014;1;0,0
ABIU ;2016;1;0,0
ABIYAN ;2020;1;0,0
ABIÚ ;2014;1;0,0
ABIÚ ;2018;1;0,0
ABNAIKA ;2016;1;0,0
ABNAIS ;2018;1;0,0
ABNARICA ;2019;1;0,0
ABNE ;2014;1;0,0
ABNEISA ;2017;1;0,0
ABNEL ;2015;1;0,0
ABNELSON ;2018;1;0,0
ABNER ;2010;19;18,0
ABNER ;2011;12;-7,0
ABNER ;2012;11;-1,0
ABNER ;2013;13;2,0
ABNER ;2014;10;-3,0
ABNER ;2015;16;6,0
ABNER ;2016;13;-3,0
ABNER ;2017;14;1,0
ABNER ;2018;19;5,0
ABNER ;2019;9;-10,0
ABNER ;2020;4;-5,0
ABNER ;2021;6;2,0
ABNERSON ;2019;1;-5,0
ABRAAM ;2021;1;0,0
ABRAAN ;2012;1;0,0
ABRAHAAM ;2014;2;1,0
ABRAHAAM ;2015;1;-1,0
ABRAHAAM ;2019;1;0,0
ABRAHAAM ;2021;1;0,0
ABRAHAINYS ;2020;1;0,0
ABRAHAM ;2010;131;130,0
ABRAHAM ;2011;133;2,0
ABRAHAM ;2012;120;-13,0
ABRAHAM ;2013;102;-18,0
ABRAHAM ;2014;127;25,0
ABRAHAM ;2015;112;-15,0
ABRAHAM ;2016;100;-12,0
ABRAHAM ;2017;183;83,0
ABRAHAM ;2018;194;11,0
ABRAHAM ;2019;183;-11,0
ABRAHAM ;2020;162;-21,0
ABRAHAM ;2021;144;-18,0
ABRAHAMM ;2019;1;-143,0
ABRAHAMS ;2018;1;0,0
ABRAHAN ;2010;5;4,0
ABRAHAN ;2011;4;-1,0
ABRAHAN ;2013;6;2,0
ABRAHAN ;2014;2;-4,0
ABRAHAN ;2015;6;4,0
ABRAHAN ;2016;2;-4,0
ABRAHAN ;2017;3;1,0
ABRAHAN ;2018;1;-2,0
ABRAHAN ;2019;1;0,0
ABRAHAN ;2020;2;1,0
ABRAHAN ;2021;4;2,0
ABRAHIM ;2015;1;-3,0
ABRAHM ;2010;1;0,0
ABRAHM ;2015;1;0,0
ABRAHM ;2018;1;0,0
ABRAHÁN ;2010;1;0,0
ABRAHÁN ;2011;1;0,0
ABRAHÁN ;2012;1;0,0
ABRAHÁN ;2014;1;0,0
ABRAHÁN ;2018;1;0,0
ABRAHÁN ;2020;1;0,0
ABRAIM ;2021;1;0,0
ABRAIN ;2020;1;0,0
ABRAJAN ;2010;1;0,0
ABRAM ;2010;5;4,0
ABRAM ;2012;1;-4,0
ABRAM ;2013;2;1,0
ABRAM ;2014;3;1,0
ABRAM ;2017;1;-2,0
ABRAM ;2020;1;0,0
ABRAM ;2021;1;0,0
ABRAN ;2013;1;0,0
ABRAN ;2016;1;0,0
ABRAN ;2019;1;0,0
ABRAN ;2021;1;0,0
ABRARAM ;2016;1;0,0
ABRARAM ;2018;1;0,0
ABRARAM ;2020;1;0,0
ABRHAM ;2016;1;0,0
ABRHAM ;2017;1;0,0
ABRIANA ;2014;1;0,0
ABRIANNA ;2014;1;0,0
ABRIANNA ;2015;1;0,0
ABRIANNE ;2014;1;0,0
ABRIANNY ;2019;1;0,0
ABRIEL ;2010;1;0,0
ABRIEL ;2018;1;0,0
ABRIEL ;2021;1;0,0
ABRIELLE ;2012;1;0,0
ABRIELLE ;2015;1;0,0
ABRIELLE ;2017;1;0,0
ABRIELLE ;2020;2;1,0
ABRIHAMNY ;2019;1;-1,0
