nombre;year;cantidad_x;diff;cantidad_y;pct_yoy;_merge
ADAIR ;2011;5;1,0;;;left_only
ADAIR ;2013;1;-4,0;;;left_only
ADAIR ;2014;5;4,0;;;left_only
ADAIR ;2015;8;3,0;;;left_only
ADAIR ;2016;5;-3,0;;;left_only
ADAIR ;2017;5;0,0;;;left_only
ADAIR ;2018;1;-4,0;;;left_only
ADAIR ;2020;5;4,0;;;left_only
ADAIR ;2021;1;-4,0;;;left_only
ADAIRA ;2019;1;0,0;;;left_only
ADAIRA ;2021;3;2,0;;;left_only
ADAL ;2019;2;1,0;;;left_only
ADAL ;2020;1;-1,0;;;left_only
ADAL ;2021;3;2,0;;;left_only
ADALAYN ;2018;1;0,0;;;left_only
ADALAYN ;2020;1;0,0;;;left_only
ADALET ;2018;2;1,0;;;left_only
ADALET ;2019;5;3,0;;;left_only
ADALET ;2020;1;-4,0;;;left_only
ADALET ;2021;3;2,0;;;left_only
ADALETH ;2018;1;0,0;;;left_only
ADALETH ;2021;3;2,0;;;left_only
ADALETT ;2016;1;0,0;;;left_only
ADALETT ;2021;1;0,0;;;left_only
ADALIA ;2012;1;-3,0;;;left_only
ADALIA ;2013;1;0,0;;;left_only
ADALIA ;2014;4;3,0;;;left_only
ADALIA ;2015;2;-2,0;;;left_only
ADALIA ;2016;2;0,0;;;left_only
ADALIA ;2017;1;-1,0;;;left_only
ADALIA ;2019;6;5,0;;;left_only
ADALIA ;2020;2;-4,0;;;left_only
ADALIA ;2021;5;3,0;;;left_only
ADALIAH ;2020;2;1,0;;;left_only
ADALID ;2012;1;-1,0;;;left_only
ADALID ;2021;1;0,0;;;left_only
ADALIN ;2019;1;0,0;;;left_only
ADALIN ;2021;1;0,0;;;left_only
ADALIND ;2016;1;0,0;;;left_only
ADALIND ;2017;2;1,0;;;left_only
ADALIND ;2018;5;3,0;;;left_only
ADALIND ;2021;1;-4,0;;;left_only
ADALINE ;2016;2;1,0;;;left_only
ADALINE ;2017;3;1,0;;;left_only
ADALINE ;2018;7;4,0;;;left_only
ADALINE ;2019;6;-1,0;;;left_only
ADALINE ;2020;4;-2,0;;;left_only
ADALINE ;2021;3;-1,0;;;left_only
ADALIS ;2011;6;3,0;;;left_only
ADALIS ;2012;1;-5,0;;;left_only
ADALIS ;2013;1;0,0;;;left_only
ADALIS ;2014;6;5,0;;;left_only
ADALIS ;2015;11;5,0;;;left_only
ADALIS ;2016;5;-6,0;;;left_only
ADALIS ;2017;2;-3,0;;;left_only
ADALIS ;2019;2;0,0;;;left_only
ADALIZ ;2012;2;-1,0;;;left_only
ADALIZ ;2014;1;-1,0;;;left_only
ADALIZ ;2015;3;2,0;;;left_only
ADALIZ ;2018;1;-2,0;;;left_only
ADALUZ ;2012;1;0,0;;;left_only
ADALUZ ;2020;1;0,0;;;left_only
ADALY ;2014;2;1,0;;;left_only
ADALY ;2015;1;-1,0;;;left_only
ADALY ;2017;2;1,0;;;left_only
ADALY ;2019;1;-1,0;;;left_only
ADALY ;2020;1;0,0;;;left_only
ADALYN ;2017;3;2,0;;;left_only
ADALYN ;2018;3;0,0;;;left_only
ADALYN ;2019;2;-1,0;;;left_only
ADALYN ;2020;3;1,0;;;left_only
ADALYN ;2021;1;-2,0;;;left_only
ADALYNN ;2021;1;0,0;;;left_only
ADALYS ;2015;1;0,0;;;left_only
ADALYS ;2016;5;4,0;;;left_only
ADALYS ;2018;2;-3,0;;;left_only
ADALYS ;2020;2;0,0;;;left_only
